분류,글귀
능숙 즐거 열심 방향을 방향이 노력하는 노력해서 노력을 노력이 결과를 결과가,일에서 즐거움의 비밀은 '탁월함'이라는 단어에 담겨 있다. 어떤 것을 능숙하게 해내는 방법을 아는 것이 그 일을 즐기는 길이다. 펄벅
도전하는 도전하고 도전이 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인,당신의 꿈이 단 한 번도 실현되지 않았다고 해서 스스로 안타깝고 서글프게 생각해서는 안된다. 정말 안타깝고 서글픈 일은 한 번도 꿈을 꾸어보지 않았던 사람들이기 때문이다. 에센 바흐
준비 꿈을 꿈이 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인 태도를 태도가,창공을 나는 새도 날개를 접어야 다시 힘을 길어 날 수 있다.
인내 참는 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이 열정 꾸준히 꾸준하게,어떤 위대한 일도 하루 아침에 이루어지지 않는다. 에피테토스
마인드를 마인드가 마인드로 생각 태도를 태도가 마음 마음가짐이 마음가짐을 성공을 성공하고,우리가 무슨 생각을 하느냐가 우리가 어떤 사람이 되는지를 결정한다. 오프라 윈프리
이겨내 고통 불운 불행을 불행을 불행해서 불행하니까 마음 마음가짐이 마음가짐을 태도를 태도가,"세상은 고통으로 가득 차 있지만, 한편 그것을 이겨내는 일로도 가득 차 있다. 헬렌 켈러"
의욕이 의욕을 의욕없는 의지가 의지를 의지박약인 용기를 용기가 도전하는 도전하고 마음 마음가짐이 마음가짐을,"사람들은 의욕이 끝까지 가질 않는다고 말한다. 뭐 목욕도 마찬가지 아닌가. 그래서 매일 하는거다. 목욕도, 동기부여도. 지그 지글러"
실천하는 실천을 실천이 의욕이 의욕을 의욕없는 의욕상실 변화가 변화를 변화하는 변화하고 성장하는 성장한,엄청난 행동량은 내가 직접 통제할 수 있는 유일한 것이다.
마인드를 마인드가 마인드로 생각 태도를 태도가 마음 마음가짐이 마음가짐을 역경 이겨내,역경의 시기에도 내 행동만은 내가 좌우할 수 있다.
실천하는 실천을 실천이 의욕이 의욕을 의욕없는 의욕상실 변화가 변화를 변화하는 변화하고 성장하는 성장한,당신의 행동력은 성공 가능성을 결정하는 중요한 요소다.
버티 버팀 버틸 고통 노력하는 노력해서 노력을 노력이 인내 꾸준히 꾸준하게 의지가 의지를 의지박약인,"고통의 시간은 결국 지나가며, 버팀의 시간은 결코 배신하지 않는다. 이광형"
동기부여 동기 습관 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실 인내,동기부여가 시동을 걸고 습관은 계속 가는 추진력이다. 짐 론
인생은 인생이 인생에서 삶을 삶이 위로 용기를 용기가 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,인생은 혼자서 만드는 프로젝트라는 사실을 깨닫게 되는 데에 반평생이 걸린다. 나폴레온 힐
진지 열정 노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 인내 성공을 성공하고 버티 버팀,"아무리 뛰어나고 치밀한 각본을 쓴들, 그 내용을 현실로 만들고 싶다면 진지한 열의가 필요하다는 사실을 기억하라."
두려움을 두려움이 두려워서 불안한 불안해서 고민을 고민이 걱정을 걱정이 걱정되는 의욕이 의욕을 의욕없는,위대한 것으로 향하기 위해 좋은 것을 포기하는 것을 두려워하지마라. 존 록펠러
노력하는 노력해서 노력을 노력이 이겨내 성취 꾸준히 꾸준하게 인내 용기를 용기가 위로,이전에 한 번도 성취한 적이 없는 것을 성취하려면 이전에 한 번도 되어본 적이 없는 사람이 되어야 한다. 레스 브라운
행동하는 행동을 믿는 믿어서 믿는데 믿고 실천하는 실천을 실천이 실행하는 행동하는 행동을 용기를 용기가,삶에서 가장 중요한 것은 행동이다. 무언가를 더 일관적으로 행동에 옮길수록 자신을 더 믿게 될 것이다.
타이밍이 타이밍을 타이밍은 최적의 지금 당장 계획은 계획을 계획이 용기를 용기가,"완벽한 시기나 완벽한 계획, 완벽한 순간이란 존재하지 않는다. 지금이 바로 최적의 시기이다."
실천하는 실천을 실천이 실행하는 실행을 두려움을 두려움이 두려워서 불안한 불안해서 고민을 고민이,새로운 미래를 원한다면 그 미래에 걸맞게 행동하라. 아무리 두려워도 그냥 시작하라.
꾸물거리는 꾸물거려서 망설이는 망설이고 망설일때 망설이게 실행을 실천하는 실천을 행동하는 행동을,성공하지 못한 사람들의 한 가지 공통점은 꾸물거린다는 사실입니다. 누가 불러도 벌떡 일어나서 달려나오는 일이 없습니다. 망설이고 꾸물거리다 끝나는거예요. 정채봉
애쓰는 애쓰고 애쓴 자기만족을 자기만족이 자기만족해서 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는,"오늘의 일은 오늘의 일로 충분하다. 너, 너무도 잘하려고 애쓰지 마라. 나태주"
실수해서 실수를 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는 의욕이 의욕을 의욕없는 의욕상실,가끔은 실수하고 서툴러도 너는 사랑스런 사람이란다. 나태주
과거를 의욕이 의욕을 의욕없는 의욕상실 걱정을 걱정이 걱정되는 불안한 불안해서 불안감을 불안감이 새출발을,비록 아무도 과거로 돌아가 새 출발을 할 수는 없지만 누구나 지금 시작해서 새로운 엔딩을 만들 수는 있다.
걱정을 걱정이 걱정되는 불안한 불안해서 불안감을 불안감이 의욕이 의욕을 의욕없는 희망을 희망이 희망은,걱정마세요. 지금의 나는 할 수 없을지 몰라도 내일의 나는 할 수 있으니까요. 김영조
희망을 희망이 희망은 포기하고 포기하지 응원하고 위로를 위로하는 위로가,포기하지 말라 저 모퉁이만 돌면 희망이란 녀석이 기다리고 있을지도 모른다. 사이토 시게타
희망을 희망이 희망은 포기하고 포기하지 응원하고 위로를 위로하는 위로가,뭔가를 할 수 없다고 말하는 사람이 있는가 하면 그것을 하는 사람이 있다. 애런 코헨
역경이 역경을 시련이 시련을 극복을 극복하고 극복하는 희망을 희망이 희망은 참고 참는 끈기있게,성공은 어려움이나 실패가 없는 상태가 아니라 역경과 시련을 극복해낸 상태를 말한다. 김주환
행복하고 노력하는 노력해서 노력을 노력이 끈기있게 끈기를 끈기가 희망을 희망이 희망은 도저히,"행복은 더 가졌을 때가 아니라, 현명하게 포기할 때 찾아오는거야."
후회하는 후회하고 후회해서 아쉬워서 아쉬운 태도를 태도가 응원하는 응원하고 위로를 위로하는,지나간 일을 떠올리지 말 것. 이미 일어난 일들을 후회하지 말 것. 바꿀 수 없는 것들을 아쉬워하지 말 것. 김수민
아픔 아픈 아파 캄캄한 캄캄하고 어둡고 어두워 어두워서 희망을 희망이 희망 응원하는 응원하고,고장 난 건 고쳐지고 아픔은 치유됩니다. 그리고 아무리 어두워도 태양은 다시 떠올라요.
마인드를 마인드가 마인드로 마음가짐으로 마음가짐이 마음가짐을 태도를 태도가 응원하는 응원하고 위로를 위로하는,중요한 것은 외부 사건이 아닌 나 자신의 마음이다. 이것만 기억한다면 다시 힘을 낼 수 있다.
결과를 결과가 끈기있게 꾸준히 꾸준하게 노력하는 노력해서 노력을 노력이 버티 열정을 열심히,결과는 하룻밤이 아니라 시간이 지나면 나타납니다. 열심히 일하고 일관성을 유지하고 인내하세요.
방법을 방법이 태도를 태도가 마인드를 마인드가 마인드로 마음 마음가짐이 마음가짐을 방향을 방향이,"짊어지는 무게가 아닌, 짊어지는 방법이 중요해요."
의지가 의지를 의지박약인 의욕이 의욕을 의욕없는 의욕상실 위로를 위로하는 실행하는 실행을,아무것도 바뀌지 않는다고 해도 당신은 무언가를 선택하고 있다.
위로를 위로하는 응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 동기 동기부여 불안한 불안해서 불안감을 불안감이,사람들에게는 저마다의 바다가 있고 사람에게는 저마다의 파도가 있기 마련이지.
위로를 위로하는 응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 동기 동기부여 불안한 불안해서 불안감을 불안감이,우리는 한낱 사람이라서 일렁였고 고작 사람이었기 때문에 글썽일 수 밖에 없는거야. 김민준
자신감 마인드를 마인드가 마인드로 마음 마음가짐이 마음가짐을 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,일단 자신감을 가장하는 데 능숙해지면 자신감있는 신체 언어 때문에 뇌가 정말로 자신감을 느끼게 된다.
자신감 마인드를 마인드가 마인드로 마음 마음가짐이 마음가짐을 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,스스로 멋져보인다고 생각하면 다른 사람들도 그런 분위기를 알아차리고 가던 길을 멈추고 돌아본다.
포커페이스가 포커페이스를 포커페이스로 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 마음가짐으로 의욕이 의욕을 의욕없는 의욕상실,무표정한 얼굴에 감정을 감추고 있다고 생각할 때도 내면의 감정은 여전히 밖으로 새어나간다. 그러므로 내면의 감정 자체를 좋게 유지해야한다.
세월이 세월은 연륜이 연륜을 인생은 인생이 인생에서 마음가짐이 마음가짐을 마음가짐으로 마인드를 마인드가 마인드로,세월에 저항하면 주름이 생기고 세월을 받아들이면 연륜이 생긴다. 박웅현
당장 순간이 순간순간이 행복을 행복이 행복해서 행복한 마인드를 마인드가 마인드로 마음가짐이 마음가짐을,언젠가는'이라는 환상에 속지 마라. 뇌가 행복을 느낄 수 있는 건 '지금 이 순간'뿐이다. 더 큰 행복이 언젠가 오는 게 아니다. 작아도 지금 이 순간의 행복을 느껴야 한다. '행복은 구하는 것이 아니라 발견하는 것이다' 이시형
자신감을 자신감이 마인드를 마인드가 마인드로 마음가짐이 마음가짐을 태도를 태도가 의욕이 의욕을 의욕없는 의욕상실,삶은 자신을 찾는 일이 아니라 자신을 만드는 일이다.
창작을 창작은 창작의 쉬고 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는 고민을 고민이,창조는 '쉼'의 순간에 터진다.
무기력한 무기력해서 의욕이 의욕을 의욕없는 의욕상실 실행하는 실행을 도전하는 도전하고 도전이 응원하는 응원하고,의욕은 행동의 필수조건이 아니다. 의욕이 있건 없건 움질일 수 있고 움직이다 보면 의욕이 생긴다. 무기력에서 벗어나는 가장 좋은 방법은 생각을 멈추고 일단 무작정 움직이는 것이다.
소소한 사소한 행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까,행복은 '강도'가 아니라 '빈도'에 있다.
희망을 희망이 희망은 포기하는 포기하고 응원하는 응원하고 위로를 위로하는 절망적인 좌절감이,소원이 이루어진다는 희망만 품어도 뇌 속에서는 벌써 행복 물질이 분비된다.
부정적인 부정적으로 고민을 고민이 걱정을 걱정이 걱정되는 불안한 불안해서 불안감을 불안감이 잡생각이 잡생각을,사람은 하루에 6만 가지 생각을 하는데 그중 95%가 그 전날 혹은 그 전전날에 했던 생각이다. 그리고 그중 80%가 부정적인 생각이다.
